,Tweet content,Latitude,Longitude
125373,"I'm at Mexfam Tlalpan in Tlalpan, DF, DF https://t.co/6dwUCkzIX6",19.28527699,-99.16979816
149977,"I'm at The Homestead in Placentia, CA https://t.co/dLnNd3aVFk",33.8922067,-117.8790318
45553,Chingado con William Da Silva,22.2498627,-97.8290726
33988,celebrating mchixon19 birthday with our hands up and our smiles on 💞 @ Buca di Beppo Dallas -… https://t.co/KMnlRK5iC7,32.9421503,-97.10916257
187996,"Can you recommend anyone for this #Nursing #job? https://t.co/V9sB8vDnKJ #TravelNurse #NurseLife #Snellville, GA https://t.co/kZm4wbWuap",33.857328,-84.0199108
194935,"Corporate Recruiter - Apex Systems: (#StLouis, MO) https://t.co/C8U36pTURR #Recruiting #Job #Jobs #Hiring",38.6440653,-90.4961123
160281,"American Woodmark: SALES REP BUILDER DIRECT (#Phoenix, AZ) https://t.co/mNHff3johG #Sales #americanjobs #woodmark #Job #Jobs #Hiring",33.4483771,-112.0740373
161709,"If you're a #Hospitality professional in #Oakland, TN, check out this #job: https://t.co/dxLoTnIZTk #SONIC #Hiring #CareerArc",35.228455,-89.5198322
52466,"If you're a #Retail professional in #Columbia, TN, check out this #job: https://t.co/3sCXOuJy03 #Hiring",35.6150716,-87.0352831
38113,Drinking a Nick's Purple Surprise by @AbnormalBeerCo/@saintarcherbrew at @churchills — https://t.co/UrL3r9HKm0 #photo,33.1354,-117.185
177890,At #catawbafalls in @ashevillestory with carlsgood! Amazing #waterfall and perfect end to a 3… https://t.co/McWePxYdvL,35.6295,-82.1792
76085,"Counter Sales (Retail) Part-Time - Genuine Parts NAPA: (#Abingdon, MD) https://t.co/kSHP5yGOar #Sales #Job #Jobs #Hiring",39.4622357,-76.2772223
170862,"Want to work in #SanAntonio, TX? View our latest opening: https://t.co/l6W97OXMdo #Transportation #Veterans #Job #Jobs #Hiring",29.4241219,-98.4936282
156160,"We're #hiring! Click to apply: Full Time Personal Banker - https://t.co/dBDOYzzroL #Job #bankjobs #WestAllis, WI https://t.co/FGVeVtmBUh",42.9970229,-88.0438408
