,Tweet content,Latitude,Longitude
38330,#betterspelling @ The Wilbur https://t.co/LwBLnIi0bf,42.3502846,-71.0649636
140165,"#friendship #miami #ciciobello #segafredo #miamibeach #sharing #lincolnroad @ Lincoln Road,… https://t.co/KXswtLyX6S",25.79061357,-80.13783708
127632,There was a song I thought for the longest time was Lionel Ritchie or something. There was a… https://t.co/i8BAf1WD8S,37.65174455,-97.32954724
69275,In #bloom in #pgh @ Southside Riverfront Trail https://t.co/5p5QaNKtqp,40.43181015,-79.97350634
61628,"I'm at UGA Veterinary Medical Center in Athens, GA https://t.co/PUiEiQlvKF",33.9196442,-83.34669833
41584,"I'm at Sixty Six Pizzeria Bar &amp;  Grill in Kernersville, NC https://t.co/UFwp4HWk9k",36.1075131,-80.06253733
189344,Just posted a photo @ Peralta https://t.co/9g9CCTBWAO,19.41242,-99.17292990000001
66738,"Crisp, full bodied, classic IPA - Drinking a Pale Ale by @SierraNevada at @tgifridays  — https://t.co/F5p5gz2LW9 #photo",41.8749,-71.0603
170547,"#Arlington, VA #IT : Federal - Entry Level Training Program - Technology Engineer- Morgan State... at Accenture https://t.co/wzQ6nMZfXQ",38.879969700000004,-77.1067698
152564,"Lol @ ClearWater Beach ClearWater, Florida https://t.co/PNzOKLnOhS",27.97180933,-82.82974523999998
150521,Rogues gallery. @ Damen Silos https://t.co/4ziJMwG4hf,41.840109999999996,-87.67616
86507,"I said it. I meant it. I did it. Delicious.

#freshsqueezed #watermelonjuice 
#emilycarpenter… https://t.co/AAKxLH3Zrd",38.593759999999996,-90.23036
102741,"See our latest #SanAngelo, TX #job and click to apply: OR - https://t.co/uNKZmbbMun #Nursing #Hiring #CareerArc",31.4637723,-100.4370375
902,#caturday is a day for play! Just ask our Mountain Lions! @ Animal World &amp; Snake Farm Zoo https://t.co/z3Z3DUyrrA,29.65584022,-98.1868162
75780,"I'm packed and READY to go. 
PALM SPRINGS HERE I COME! @ Palm… https://t.co/FJILOz4Igi",33.824,-116.53
201060,"We're #hiring! Read about our latest #job opening here: Store Warehouse Associate - https://t.co/5naLvHcsEv #Highland, IN #CustomerService",41.5536468,-87.451984
175166,This offer expires tonight. Don't miss your event code! https://t.co/rsWf3xUR75 https://t.co/9esMLquInX,26.2188442,-98.2322355
16225,Spent the day at the happiest place on earth w/ the one who makes me happy #disneyland… https://t.co/FDAIYrjzI5,33.81021891,-117.92116033
64241,"Can you recommend anyone for this #Accounting #job? https://t.co/1bncDNtDsn #nowhiring #Omaha, NE #Hiring",41.25236339999999,-95.99798829999999
176024,"Congrats Grad! Keep achieving &amp; striving to reach higher heights! 🎓🎓💃🏾💃🏾
#blackexcellence… https://t.co/5moD9X6PLf",39.54249622,-119.8162973
108298,IN #Retail #Job: Store Manager at Dollar General Corporation https://t.co/VcLfIcfeC6 #Diversity #Veterans #Jobs https://t.co/Bgat3j0xf9,40.9885488,-91.5596117
203813,"I'm at City of @PhiladelphiaGov in Philadelphia, PA, PA https://t.co/IaSJ2oYDmJ",39.95222081,-75.16343594
22713,Yup. Most definitely perfect. @ Figaro Bistrot https://t.co/HXVdXO1bcD,34.10368,-118.29175
163676,"""Who run the world?"" @ Stone Mountain State Park https://t.co/uvJY2N29wO",36.372714,-81.02069400000002
47590,GET CHEEKBONES WITH WOW FACTOR!! 🙋🏻 My daily essential for highlighting and contouring in just 2… https://t.co/2WB2IHOo6M,27.42590868,-82.47299166000002
80705,"#CareerArc #OpenSource #Job alert: Linux Systems Administrator | KellyMitchell Group | #StLouis, MO https://t.co/aeM1IJq3AD #Jobs #Hiring",38.6270025,-90.1994042
9380,"I was sketchin' Ko from the backseat of the car cause he got a break a leg face. 

#KO #PERFECT… https://t.co/cuAbvgD74c",40.20614952,-74.25721493
60409,"I'm at Lynx Arena in Belleville, IL https://t.co/np0C3MV3j9",38.52333863,-90.01179300000001
7061,An image from a fun shoot with🔥Aubrey🔥 (@aubrey_paige23 ) in Laguna Beach. #sportsillustrated… https://t.co/YIiskEz1lD,33.5315,-117.76899999999999
36179,@JulieWilson10 @jpc15x you both better come then!,40.69169583,-73.96965240999998
122344,"If you're a #Nursing professional in #Augusta, GA, check out this #job: https://t.co/5UAkQGz4Gz #Veterans #Hiring #CareerArc",33.474246,-82.00967
203202,"Just posted a photo @ Long beach city college, PCC campus https://t.co/Ag6XTluyo0",33.791100799999995,-118.17431450000001
167822,#firstcoastconnect was joined by Carmen Goodwin of preservationjax to discuss the 4 2nd Annual… https://t.co/GEGanIOGNP,30.3194,-81.66
